	
locus	Mean	Lower_95%CI	Upper_95%CI	
BMS1675	0.1224	0.0178	0.2118	
BMS1857	0.1151	0.0397	0.2072	
BMS1001	0.0506	-0.051	0.1758	
BMS601	0.1932	0.0935	0.2844	
BM720	0.099	-0.0188	0.2102	
ILSTS102	-0.0446	-0.0695	-0.0229	
BMS1074	0.0983	-0.023	0.2285	
BMS1172	-0.0332	-0.1121	0.0713	
BMS2258	0.1227	0.0459	0.1954	
BM757	0.1126	-0.0044	0.2238	
SPS115	0.1917	0.1108	0.2906	
BMS527	0.0906	0.0026	0.183	
BM2830	0.1107	0.0119	0.1867	
INRA194	0.2087	0.0905	0.3274	
BMS941	0.0576	-0.0436	0.167	
INRA037	0.1268	0.0122	0.2581	
BM4107	0.0544	-0.0331	0.1408	
TGLA122	1e-04	-0.1083	0.0906	
HUJ246	0.046	-0.0881	0.1865	
BMS528	0.0937	-0.0281	0.1912	
BM4440	0.0343	-0.0665	0.1386	
TGLA44	0.0894	-0.0335	0.1912	
BMS510	0.0506	-0.031	0.1566	
BMS1355	0.1721	0.0522	0.3119	
BM1824	0.0723	-0.0254	0.166	
BMS812	0.135	0.035	0.2279	
BMS2639	0.0626	-0.0047	0.1374	
BMS410	0.1526	0.0564	0.2678	
AGLA232	0.0232	-0.0627	0.1171	
BM17132	0.0701	-0.0356	0.1805	
BM711	0.1431	-0.0165	0.2714	
INRA133	0.1675	0.0678	0.2678	
RM372	-0.0263	-0.1029	0.0638	
BM4311	0.1648	0.0679	0.265	
BMS1747	0.0821	-0.004	0.1905	
BL1036	0.128	0.017	0.2495	
BM1862	0.0451	-0.0551	0.1418	
BMS1862	0.0767	0.001	0.1421	
URB011	0.1403	0.0382	0.238	
global	0.0897	0.0736	0.1069	
